name,male_cnt,female_cnt
Aaban,72,0
Aabid,5,0
Aadam,144,0
Aadan,112,0
Aadarsh,158,0
Aaden,3915,5
Aadesh,15,0
Aadhav,102,0
Aadhavan,19,0
Aadhi,12,0
Aadhyan,5,0
Aadi,667,16
Aadian,5,0
Aadil,226,0
Aadin,112,0
Aadish,17,0
Aadit,267,0
Aadith,39,0
Aaditya,438,0
Aadiv,11,0
Aadon,100,0
Aadrian,5,0
Aadrit,5,0
Aadvik,26,0
Aadyn,387,16
Aagam,8,0
Aahaan,12,0
Aahan,165,0
Aahil,329,0
Aahron,5,0
Aaidan,38,0
Aaiden,543,0
Aaidyn,38,0
Aajon,8,0
Aakarsh,53,0
Aakash,507,0
Aakeem,5,0
Aalias,5,0
Aalijah,155,92
Aalim,21,0
Aaliyah,73,61647
Aalok,5,0
Aamar,5,0
Aamari,88,67
Aamarion,10,0
Aamer,15,0
Aamil,12,0
Aamir,1056,6
Aanav,6,0
Aansh,11,0
Aaqib,22,0
Aaqil,28,0
Aaraiz,6,0
Aaran,100,0
Aarav,3271,0
Aaren,377,30
Aareon,28,5
Aari,5,0
Aarian,76,40
Aarib,39,0
Aaric,260,0
Aarick,17,0
Aarik,101,0
Aarin,251,77
Aarion,263,52
Aaris,24,23
Aarish,92,0
Aarit,64,0
Aariv,95,0
Aariyan,5,0
Aariz,406,0
Aarjav,15,0
Aarnav,359,0
Aaro,16,0
Aaroh,5,0
Aarohan,16,0
Aaron,124015,441
Aaronjacob,5,0
Aaronjames,46,0
Aaronjohn,16,0
Aaronjoseph,7,0
Aaronjosh,5,0
Aaronjoshua,10,0
Aaronmichael,15,0
Aaronn,7,0
Aaroosh,6,0
Aarron,246,0
Aarsh,43,0
Aarush,1483,0
Aarvin,5,0
Aarya,263,950
Aaryan,968,6
Aaryav,71,0
Aaryn,372,485
Aaryon,10,0
Aaser,5,0
Aashay,19,0
Aashir,84,0
Aashish,84,0
Aashman,5,0
Aashray,5,0
Aashrith,92,0
Aasim,144,0
Aasin,14,0
Aasir,29,0
Aason,17,0
Aathan,5,0
Aatif,5,0
Aatish,16,0
Aaven,31,0
Aavi,12,0
Aavin,10,0
Aavion,17,0
Aavyan,5,0
Aavyn,6,5
Aayaan,31,0
Aayam,5,0
Aayan,883,0
Aayansh,34,0
Aaydan,6,0
Aayden,1006,5
Aayu,6,0
Aayush,913,0
Aazan,5,0
Aazim,15,0
Ab,262,0
Aba,5,5
Abaan,22,0
Abad,61,0
Aban,16,0
Abanoub,72,0
Abas,60,0
Abasi,5,0
Abass,62,0
Abayomi,41,0
Abba,21,0
Abbaas,5,0
Abbas,699,0
Abbey,6,6148
Abbigail,5,8167
Abbot,12,0
Abbott,320,18
Abby,44,22174
Abd,11,0
Abdala,6,0
Abdalah,6,0
Abdalla,190,0
Abdallah,694,0
Abdalrahman,117,0
Abdalrhman,5,0
Abdel,257,0
Abdelaziz,71,0
Abdelhadi,5,0
Abdelkareem,10,0
Abdelkarim,17,0
Abdellah,17,0
Abdelrahman,384,0
Abdelrhman,6,0
Abderrahman,5,0
Abdi,221,10
Abdias,333,0
Abdiasis,6,0
Abdiaziz,101,0
Abdiel,2636,0
Abdifatah,163,0
Abdihafid,9,0
Abdihakim,24,0
Abdihamid,5,0
Abdikadir,114,0
Abdikarim,16,0
Abdikhaliq,5,0
Abdilahi,10,0
Abdimalik,141,0
Abdinajib,5,0
Abdinasir,130,0
Abdiqani,20,0
Abdirahim,56,0
Abdirahman,1196,0
Abdirashid,17,0
Abdirisaq,12,0
Abdirizak,66,0
Abdisalam,5,0
Abdisalan,6,0
Abdisamad,18,0
Abdishakur,39,0
Abdiwahab,19,0
Abdiwali,5,0
Abdo,27,0
Abdon,90,0
Abdou,155,0
Abdoul,302,0
Abdoulaye,475,0
Abdoulaziz,10,0
Abdoulie,93,0
Abdourahman,5,0
Abdourahmane,18,0
Abdrahman,15,0
Abdu,11,0
Abduallah,27,0
Abdul,1849,0
Abdula,5,0
Abdulah,30,0
Abdulahad,48,0
Abdulahi,319,0
Abdulai,75,0
Abdulaye,5,0
Abdulazeem,5,0
Abdulazeez,20,0
Abdulaziz,663,0
Abdulbari,5,0
Abdulbasit,13,0
Abdulelah,22,0
Abdulhadi,77,0
Abdulhakeem,17,0
Abdulhakim,16,0
Abdulhalim,5,0
Abdulhameed,5,0
Abdulhamid,46,0
Abduljabbar,16,0
Abduljaleel,5,0
Abduljalil,5,0
Abdulkadir,100,0
Abdulkareem,114,0
Abdulkarim,106,0
Abdulla,192,0
Abdullah,3731,0
Abdullahi,986,0
Abdullatif,18,0
Abdulloh,20,0
Abdulmajeed,22,0
Abdulmajid,15,0
Abdulmalek,5,0
Abdulmalik,249,0
Abdulmohsen,11,0
Abdulnasir,5,0
Abdulqadir,26,0
Abdulraheem,74,0
Abdulrahim,68,0
Abdulrahman,1199,0
Abdulrehman,49,0
Abdulrhman,28,0
Abdulsalam,20,0
Abdulsamad,5,0
Abdulwadud,5,0
Abdulwahab,97,0
Abdulwahid,10,0
Abdur,120,0
Abdurahman,254,0
Abdurraheem,17,0
Abdurrahim,6,0
Abdurrahmaan,5,0
Abdurrahman,507,0
Abdurrehman,30,0
Abdussamad,6,0
Abe,711,0
Abed,63,0
Abedallah,6,0
Abedalrahman,11,0
Abednego,53,0
Abeer,17,214
Abel,17711,31
Abelardo,857,0
Abelino,143,0
Abell,5,0
Abem,48,0
Aben,17,0
Abenezer,109,0
Aberham,20,0
Abey,10,17
Abhay,464,0
Abheek,7,0
Abhi,191,0
Abhijay,90,0
Abhijeet,39,0
Abhijit,36,0
Abhijot,32,0
Abhik,10,0
Abhilash,16,0
Abhimanyu,125,0
Abhinav,1395,0
Abhinay,5,0
Abhiraj,53,0
Abhiram,612,0
Abhirup,10,0
Abhishek,422,0
Abi,22,265
Abian,12,0
Abid,172,0
Abidan,5,0
Abie,101,47
Abiel,615,23
Abiezer,12,0
Abigael,5,1032
Abigail,328,215269
Abigayle,5,4089
Abijah,171,37
Abimael,568,0
Abimbola,5,0
Abimelec,43,0
Abin,5,0
Abinadab,5,0
Abinadi,22,0
Abinav,24,0
Abiola,23,53
Abir,181,42
Abiram,12,0
Abisai,555,13
Abishai,119,20
Abishek,36,0
Abiud,6,0
Abiyah,5,5
Able,330,0
Abnel,6,0
Abner,2201,0
Abou,63,0
Aboubacar,220,0
Aboubakar,24,0
Abraam,37,0
Abraar,5,0
Abraham,30174,61
Abrahan,458,0
Abraheem,11,0
Abrahem,30,0
Abrahim,305,0
Abrahm,384,0
Abram,7076,0
Abran,676,0
Abrar,228,257
Abraxas,6,0
Abren,6,0
Abrham,68,0
Abrian,169,0
Abriel,227,333
Abrien,27,0
Abril,5,5367
Abron,10,0
Abrum,39,0
Absalom,42,0
Absalon,16,0
Abshir,48,0
Abtin,6,0
Abu,178,0
Abubacar,14,0
