name,n_syllable,cnt,male_cnt,female_cnt
Shai,1,1065,581,484
Dan,1,1955,1936,19
Kai,1,25570,22418,3152
Lian,1,1019,631,388
Mai,1,1030,0,1030
Ben,1,5773,5773,0
Ken,1,1650,1650,0
Bo,1,4039,3778,261
Tai,1,1852,1424,428
Juan,1,97998,97745,253
Taha,2,1181,1181,0
Yuri,2,1565,621,944
Susan,2,6890,12,6878
Tate,2,10919,10350,569
Tegan,2,4614,1579,3035
Titan,2,1807,1807,0
Wade,2,6832,6825,7
Yeshua,2,1061,1061,0
Sinai,2,1339,124,1215
Talan,2,3368,3322,46
Zaire,2,4000,3228,772
Aidan,2,94404,92600,1804
Zeke,2,2299,2299,0
Aila,2,1145,0,1145
Aisha,2,6341,0,6341
Anai,2,1382,0,1382
Anne,2,10423,0,10423
Annie,2,13218,0,13218
Anya,2,10523,0,10523
Baila,2,1243,0,1243
Cami,2,1272,0,1272
Cate,2,1316,0,1316
Chana,2,4225,0,4225
Chaya,2,5555,0,5555
Daisha,2,1902,0,1902
Zane,2,23024,22880,144
Zuri,2,3750,279,3471
Shaan,2,1239,1239,0
Dasha,2,1596,0,1596
Masen,2,2123,2069,54
Maya,2,59755,107,59648
Mika,2,2795,495,2300
Mike,2,4294,4294,0
Mila,2,15916,13,15903
Milan,2,7047,2924,4123
Mina,2,4487,254,4233
Misha,2,1194,138,1056
Moshe,2,6014,6014,0
Musa,2,1541,1541,0
Naomi,2,40503,23,40480
Nate,2,1775,1747,28
Paige,2,59346,117,59229
Paola,2,12550,39,12511
Randi,2,2363,137,2226
Regan,2,8488,925,7563
Remi,2,3190,741,2449
Rene,2,7601,7038,563
Rian,2,3203,1701,1502
Rishi,2,2266,2266,0
Ruben,2,20184,20162,22
Sade,2,2376,17,2359
Sadie,2,38582,32,38550
Sage,2,15627,4973,10654
Saige,2,5229,414,4815
Sami,2,2330,1990,340
Sanai,2,2671,15,2656
Sasha,2,12834,464,12370
Sean,2,78384,78063,321
Shane,2,34140,33744,396
Demi,2,3572,0,3572
Dixie,2,3331,0,3331
Mari,2,2082,10,2072
Neha,2,2332,0,2332
Nila,2,1021,0,1021
Nina,2,18200,0,18200
Niya,2,2196,0,2196
Queen,2,1053,0,1053
Rena,2,1488,0,1488
Rita,2,3024,0,3024
Riya,2,3669,0,3669
Rubi,2,4522,0,4522
Safa,2,1043,0,1043
Sana,2,1734,0,1734
Sanya,2,1026,0,1026
Shaila,2,1868,0,1868
Shaina,2,2044,0,2044
Shana,2,1402,0,1402
Shanna,2,1361,0,1361
Shanya,2,1536,0,1536
Siri,2,1120,0,1120
Siya,2,1036,0,1036
Suri,2,1958,0,1958
Taina,2,1142,0,1142
Tala,2,1312,0,1312
Tanya,2,4890,0,4890
Tasha,2,1077,0,1077
Taya,2,3015,0,3015
Tina,2,4068,0,4068
Yana,2,1084,0,1084
Zaida,2,1393,0,1393
Zaina,2,1283,0,1283
Naya,2,2201,0,2201
Nala,2,1834,0,1834
Naima,2,2589,0,2589
Naila,2,1188,0,1188
Faye,2,2193,0,2193
Hailie,2,4498,0,4498
Halie,2,3316,0,3316
Hana,2,5451,0,5451
Heidi,2,14884,0,14884
Jiya,2,1155,0,1155
Kaila,2,5220,0,5220
Kalie,2,1902,0,1902
Keren,2,1775,0,1775
Laci,2,4172,0,4172
Laina,2,1300,0,1300
Laisha,2,2037,0,2037
Lana,2,9362,0,9362
Lanie,2,2545,0,2545
Dina,2,2629,0,2629
Leila,2,16925,0,16925
Lena,2,10797,0,10797
Lexi,2,15457,0,15457
Lila,2,18093,0,18093
Lili,2,1524,0,1524
Lilian,2,8989,0,8989
Lina,2,4155,0,4155
Linda,2,9496,0,9496
Liza,2,1781,0,1781
Maile,2,1464,0,1464
Maite,2,1988,0,1988
Maiya,2,2404,0,2404
Maren,2,3278,0,3278
Miya,2,3919,0,3919
Mona,2,1401,0,1401
Lela,2,2142,0,2142
Makai,2,3711,3526,185
Aida,2,2317,0,2317
Dejuan,2,1370,1370,0
Fabian,2,17529,17495,34
Case,2,3936,3936,0
Kaili,2,1633,24,1609
